Campaign ID,Creation Package Config ID,Campaign Name,Special Ad Categories,Special Ad Category Country,Campaign Status,Campaign Objective,Buying Type,Campaign Spend Limit,Campaign Daily Budget,Campaign Lifetime Budget,Campaign Bid Strategy,Tags,Campaign Is Using L3 Schedule,Campaign Start Time,Campaign Stop Time,Product Catalog ID,Campaign Page ID,New Objective,Buy With Prime Type,Is Budget Scheduling Enabled For Campaign,Campaign High Demand Periods,Buy With Integration Partner,,Ad Set Run Status,Ad Set Lifetime Impressions,Ad Set Name,Ad Set Time Start,Ad Set Time Stop,Ad Set Daily Budget,Destination Type,Ad Set Lifetime Budget,Rate Card,Ad Set Schedule,Use Accelerated Delivery,Frequency Control,Ad Set Minimum Spend Limit,Ad Set Maximum Spend Limit,Is Budget Scheduling Enabled For Ad Set,Ad Set High Demand Periods,Link Object ID,Optimized Conversion Tracking Pixels,Optimized Custom Conversion ID,Optimized Pixel Rule,Optimized Event,Custom Event Name,Link,Application ID,Product Set ID,Place Page Set ID,Object Store URL,Offer ID,Offline Event Data Set ID,Countries,Cities,Regions,Electoral Districts,Zip,Addresses,Geo Markets (DMA),Global Regions,Large Geo Areas,Medium Geo Areas,Small Geo Areas,Metro Areas,Neighborhoods,Subneighborhoods,Subcities,Location Types,Location Cluster IDs,Location Set IDs,Excluded Countries,Excluded Cities,Excluded Large Geo Areas,Excluded Medium Geo Areas,Excluded Metro Areas,Excluded Small Geo Areas,Excluded Subcities,Excluded Neighborhoods,Excluded Subneighborhoods,Excluded Regions,Excluded Electoral Districts,Excluded Zip,Excluded Addresses,Excluded Geo Markets (DMA),Excluded Global Regions,Excluded Location Cluster IDs,Gender,Age Min,Age Max,Education Status,Fields of Study,Education Schools,Work Job Titles,Work Employers,College Start Year,College End Year,Interested In,Relationship,Family Statuses,Industries,Life Events,Income,Multicultural Affinity,Household Composition,Behaviors,Connections,Excluded Connections,Friends of Connections,Locales,Site Category,Unified Interests,Excluded User AdClusters,Broad Category Clusters,Targeting Categories - ALL OF,Custom Audiences,Excluded Custom Audiences,Flexible Inclusions,Flexible Exclusions,Advantage Audience,Age Range,Targeting Optimization,Targeting Relaxation,Product Audience Specs,Excluded Product Audience Specs,Targeted Business Locations,Dynamic Audiences,Excluded Dynamic Audiences,Beneficiary,Payer,Publisher Platforms,Facebook Positions,Instagram Positions,Audience Network Positions,Oculus Positions,Device Platforms,User Device,Excluded User Device,User Operating System,User OS Version,Wireless Carrier,Excluded Publisher Categories,Brand Safety Inventory Filtering Levels,Optimization Goal,Attribution Spec,Billing Event,Bid Amount,Ad Set Bid Strategy,Regional Regulated Categories,Beneficiary (financial ads in Australia),Payer (financial ads in Australia),Beneficiary (financial ads in Taiwan),Payer (financial ads in Taiwan),Beneficiary (Taiwan),Payer (Taiwan),Beneficiary (Singapore),Payer (Singapore),Beneficiary (securities ads in India),Payer (securities ads in India),Beneficiary (selected locations),Payer (selected locations),Story ID,Ad ID,Ad Status,Preview Link,Instagram Preview Link,Ad Name,Title,Body,Display Link,Link Description,Optimize text per person,Retailer IDs,Post Click Item Headline,Post Click Item Description,Conversion Tracking Pixels,Optimized Ad Creative,Image Hash,Image File Name,Image Crops,Video Thumbnail URL,Instagram Platform Image Hash,Instagram Platform Image Crops,Instagram Platform Image URL,Carousel Delivery Mode,Creative Type,URL Tags,Event ID,Video ID,Video File Name,Instagram Account ID,Mobile App Deep Link,Product Link,App Link Destination,Call Extension Phone Data ID,Call to Action,Additional Call To Action 5,Additional Call To Action 6,Additional Call To Action 7,Additional Call To Action 8,Additional Call To Action 9,Call to Action Link,Call to Action WhatsApp Number,Additional Custom Tracking Specs,Video Retargeting,Lead Form ID,Permalink,Force Single Link,Format Option,Dynamic Ad Voice,Creative Optimization,Template URL,Android App Name,Android Package Name,Deep Link For Android,Facebook App ID,iOS App Name,iOS App Store ID,Deep Link For iOS,iPad App Name,iPad App Store ID,Deep Link For iPad,iPhone App Name,iPhone App Store ID,Deep Link For iPhone,Deep link to website,Windows Store ID,Windows App Name,Deep Link For Windows Phone,Add End Card,Dynamic Ads Ad Context,Page Welcome Message,App Destination,App Destination Page ID,Use Page as Actor,Image Overlay Template,Image Overlay Text Type,Image Overlay Text Font,Image Overlay Position,Image Overlay Theme Color,Image Overlay Float With Margin,Image Layer 1 - layer_type,Image Layer 1 - image_source,Image Layer 1 - overlay_shape,Image Layer 1 - text_font,Image Layer 1 - shape_color,Image Layer 1 - text_color,Image Layer 1 - content_type,Image Layer 1 - price,Image Layer 1 - low_price,Image Layer 1 - high_price,Image Layer 1 - frame_source,Image Layer 1 - frame_image_hash,Image Layer 1 - scale,Image Layer 1 - blending_mode
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_STATIC,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_CAROUSEL,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_VIDEO,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_STATIC,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_CAROUSEL,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,15,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Retargeting | Fall Family Beef Sampler | December 2025_Retargeting_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_VIDEO,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_STATIC,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_CAROUSEL,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Warm,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_VIDEO,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_STATIC,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_CAROUSEL,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tier 1: Sales | Fall Family Beef Sampler | December 2025,None,,PAUSED,Outcome Sales,AUCTION,,40,,Highest volume or value,,,,,,,Yes,,,,,,,,Tier 1: Sales | Fall Family Beef Sampler | December 2025_Sales_Cold,,,,,,,,,,,,,,,,,,,,https://stisidoreranch.com/offers/winter-family-beef-sampler?utm_source=meta&utm_medium=paid&utm_campaign=Fall_Family_Beef_Sampler&utm_content=FallFamilyBeefSampler_Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINK_CLICKS,,LINK_CLICKS,,,,,,,,,,,,,,,,,,,,,FallFamilyBeefSampler_Primary_VIDEO,Fall Family Beef Sampler – $199,"Taste the difference of Ontario grass-fed beef. 15 lb of steaks, roasts & ground beef raised right here on pasture — ready for your freezer.",stisidoreranch.com,,,,,,,,,,,,,,,,Standard,utm_source=meta&utm_medium=paid&utm_campaign=fall_family_beef_sampler,,,,,,,,,SHOP_NOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
